Open,High,Low,Change %,,Date,Value,Price
68.585,68.598,67.308,-0.94,,12/16,2.230483,67.955
66.675,68.881,66.217,2.87,,11/16,2.592592,68.598
66.546,67.005,66.362,0.2,,10/16,3.345725,66.686
66.951,67.148,66.25,-0.62,,9/16,4.135338,66.556
66.71,67.37,66.56,0.48,,8/16,5.30303,66.973
67.499,67.571,66.6,-1.26,,7/16,6.463878,66.655
67.197,68.222,66.441,0.44,,6/16,6.130268,67.504
66.415,67.78,66.225,1.18,,5/16,6.589147,67.209
66.345,66.852,66.014,0.26,,4/16,5.859375,66.425
68.196,68.355,66.12,-2.86,,3/16,5.511811,66.255
67.868,68.909,67.485,0.49,,2/16,5.533597,68.208
66.199,68.265,66.12,2.52,,1/16,5.905512,67.878
66.452,67.18,65.936,-0.38,,12/15,6.324111,66.208
65.403,66.945,65.32,1.59,,11/15,6.719368,66.462
65.514,65.7,64.629,-0.14,,10/15,6.324111,65.423
66.388,66.913,65.47,-1.35,,9/15,5.13834,65.517
63.986,66.91,63.64,3.79,,8/15,4.347826,66.412
63.599,64.27,63.243,0.6,,7/15,4.365079,63.988
63.723,64.33,63.41,-0.22,,6/15,6.097561,63.604
63.521,64.39,63.3,0.34,,5/15,5.737705,63.743
62.282,63.78,61.92,1.99,,4/15,5.785124,63.529
61.703,63.14,61.649,1.02,,3/15,6.276151,62.291
61.995,62.54,61.555,-0.58,,2/15,6.302521,61.659
63.17,63.63,61.255,-1.61,,1/15,7.172996,62.02
62.05,63.885,61.76,1.33,,12/14,5.85774,63.035
61.5,62.25,61.285,1.31,,11/14,4.115226,62.21
61.82,61.965,60.895,-0.86,,10/14,4.979253,61.405
60.505,61.94,60.197,2.35,,9/14,6.302521,61.94
60.74,61.755,60.345,-0.06,,8/14,6.751055,60.52
60.07,60.565,59.525,0.82,,7/14,7.234043,60.555
59.1,60.545,58.97,1.46,,6/14,6.493506,60.06
60.26,60.285,58.25,-1.91,,5/14,7.017544,59.195
59.925,61.195,59.57,0.55,,4/14,7.079646,60.345
61.95,62.15,59.68,-2.88,,3/14,6.696429,60.015
62.7,62.835,61.75,-1.42,,2/14,6.726458,61.795
61.818,63.325,61.315,1.42,,1/14,7.239819,62.685
62.35,62.543,60.83,-0.94,,12/13,9.132421,61.81
61.5,63.91,61.5,1.26,,11/13,11.46789,62.399
62.55,62.57,60.93,-1.54,,10/13,11.05991,61.624
66.1,68.615,61.645,-4.74,,9/13,10.69767,62.59
60.75,68.805,60.225,7.97,,8/13,10.74766,65.705
59.46,61.225,58.693,2.22,,7/13,10.84906,60.855
56.5,60.77,56.3,5.22,,6/13,11.05769,59.533
53.8,56.77,53.63,5.39,,5/13,10.67961,56.58
54.26,54.945,53.65,-1.11,,4/13,10.2439,53.685
54.36,55.135,53.89,-0.16,,3/13,11.44279,54.285
53.21,54.615,52.88,2.06,,2/13,12.0603,54.37
54.99,55.395,53.06,-3.13,,1/13,11.61616,53.275
54.35,55.285,54.015,1.35,,12/12,11.16751,54.995
53.8,55.885,53.597,0.85,,11/12,9.547739,54.265
52.82,54.209,51.35,1.8,,10/12,9.59596,53.805
55.523,56.04,52.49,-4.81,,9/12,9.137055,52.855
55.65,56.2,54.955,-0.06,,8/12,10.30928,55.525
55.48,56.44,54.17,0.09,,7/12,9.84456,55.56
56.075,57.335,54.82,-0.95,,6/12,10.05291,55.51
52.73,56.53,52.48,6.41,,5/12,10.16043,56.04
50.84,52.88,50.509,3.52,,4/12,10.21505,52.665
49.005,51.49,49.005,3.59,,3/12,8.648648,50.875
49.5,49.77,48.6,-0.82,,2/12,7.567567,49.11
53.255,53.355,49.232,-6.6,,1/12,5.319149,49.515
52.09,54.325,50.94,1.7,,12/11,6.486486,53.015
48.59,52.735,48.59,7.05,,11/11,9.340659,52.13
48.96,50.325,48.53,-0.66,,10/11,9.392265,48.695
45.74,49.895,45.65,7.03,,9/11,10.05587,49.02
44.1,46.225,43.96,3.6,,8/11,8.988764,45.8
44.65,44.77,43.85,-1.1,,7/11,8.426967,44.21
45,45.15,44.52,-0.8,,6/11,8.620689,44.7
44.21,45.433,44.14,1.82,,5/11,8.72093,45.06
44.48,44.71,43.882,-0.63,,4/11,9.411765,44.255
45.26,45.377,44.5,-1.61,,3/11,8.823529,44.535
45.9,45.935,44.86,-1.22,,2/11,8.823529,45.265
44.61,46.035,44.51,2.49,,1/11,9.302325,45.825
45.88,45.892,44.57,-2.37,,12/10,9.467456,44.713
44.27,46.13,43.81,3.33,,11/10,8.333333,45.8
44.53,44.835,43.97,-0.55,,10/10,9.69697,44.325
47.02,47.03,44.54,-5.3,,9/10,9.815951,44.57
46.32,47.15,45.71,1.42,,8/10,9.876543,47.065
46.34,47.415,46.22,-0.09,,7/10,11.25,46.405
46.3,47.455,45.49,0.17,,6/10,13.72549,46.445
44.2,47.745,44.18,4.72,,5/10,13.90728,46.365
44.9,44.925,44.05,-1.23,,4/10,13.33333,44.275
46.08,46.168,44.75,-2.78,,3/10,14.86487,44.825
46.15,46.89,45.72,-0.04,,2/10,14.86487,46.105
46.605,46.697,45.09,-0.61,,1/10,16.21622,46.125
46.34,47.04,45.86,-0.27,,12/9,14.96599,46.41
46.98,47.445,45.75,-0.83,,11/9,13.51351,46.535
47.7,47.935,45.77,-1.7,,10/9,11.48649,46.925
48.65,49.215,47.7,-1.96,,9/9,11.64384,47.735
47.7,49.06,47.14,1.81,,8/9,11.72414,48.69
48,49.47,47.55,0.16,,7/9,11.88811,47.825
47.08,48.95,46.57,1.34,,6/9,9.285714,47.75
49.71,50.03,46.66,-5.24,,5/9,8.633094,47.12
50.66,50.735,49.32,-1.67,,4/9,8.695652,49.725
50.82,52.14,50.02,-0.85,,3/9,8.029197,50.57
48.65,51.195,48.16,4.41,,2/9,9.62963,51.005
48.67,49.35,47.9,0.47,,1/9,10.44776,48.85
49.35,50.62,46.4,-1.93,,12/8,9.701492,48.62
49.1,50.595,46.7,0.51,,11/8,10.44776,49.575
46.67,50.315,46.02,5.36,,10/8,10.44776,49.325
43.6,47.125,43.45,6.71,,9/8,9.774436,46.815
42.36,44.16,41.74,3.26,,8/8,9.022556,43.87
42.8,43.563,41.73,-1.04,,7/8,8.333333,42.483
42.2,43.14,42.1,1.83,,6/8,7.692307,42.93
40.58,43.21,40.25,4.2,,5/8,7.751938,42.16
39.94,40.66,39.6,1.07,,4/8,7.8125,40.46
39.78,40.84,39.6,0.28,,3/8,7.874016,40.03
39.18,40.25,39.11,1.63,,2/8,5.46875,39.92
39.4,39.79,39.02,-0.32,,1/8,5.511811,39.28
39.45,39.695,39.1,-0.29,,12/7,5.511811,39.405
39.15,39.92,39,0.83,,11/7,5.511811,39.52
39.55,39.975,39.08,-1.17,,10/7,5.511811,39.195
40.63,41,39.4,-2.41,,9/7,6.4,39.66
40.15,41.725,40.13,1.12,,8/7,7.258065,40.64
40.6,40.75,40.05,-0.83,,7/7,6.451613,40.19
40.3,41.245,40.13,0.37,,6/7,5.691057,40.525
41.15,41.485,40.14,-1.63,,5/7,6.61157,40.375
43.15,43.335,40.55,-4.81,,4/7,6.666667,41.045
44.05,44.715,42.75,-2.2,,3/7,6.722689,43.12
44.07,44.38,43.84,0.02,,2/7,7.563025,44.09
44.12,44.635,44,-0.08,,1/7,6.722689,44.08
44.57,44.935,44.08,-1.09,,12/6,6.528648,44.115
44.9,45.38,44.35,-0.71,,11/6,5.950735,44.6
45.78,45.905,44.8,-2.16,,10/6,6.917439,44.92
46.36,46.56,45.68,-1.23,,9/6,6.398648,45.91
46.46,46.8,46.3,-0.04,,8/6,5.938375,46.48
45.82,47.05,45.8,1.35,,7/6,6.332198,46.5
46.2,46.48,45.6,-0.92,,6/6,7.269146,45.88
44.88,46.56,44.68,3.13,,5/6,5.925406,46.305
44.45,45.42,44.39,0.9,,4/6,4.652825,44.9
44.2,44.77,44.09,0.51,,3/6,4.571429,44.5
43.9,44.67,43.9,0.8,,2/6,4.571429,44.275
45.08,45.155,43.89,-2.38,,1/6,4.372623,43.925
,,,,,,,
Lowest:39.000,Difference:29.909,Average:52.328,Change %:51.028,,,,Highest:68.909
