period,soi,rec
1,0.377,168.63
2,0.246,268.63
3,0.311,368.63
4,0.104,468.63
5,-0.016,568.63
6,0.235,668.63
7,0.137,759.16
8,0.191,848.7
9,-0.016,947.54
10,0.29,1050.91
11,0.038,1144.7
12,-0.016,1242.85
13,-0.158,1339.62
14,0.366,1444.45
15,0.607,1538.98
16,-0.355,1642.62
17,-0.18,1748.27
18,0.268,1859.39
19,0.093,1951.66
20,0.027,2038.55
21,0.246,2160.33
22,0.202,2272.27
23,0.432,2368.62
24,0.617,2469.63
25,0.76,2572.2
26,0.891,2667.87
27,0.607,2764.91001
28,0.574,2853.85
29,0.005,2937.96
30,0.475,3023.23
31,0.202,3112.68
32,-0.027,329.84
33,-0.038,337.82
34,0.716,3411.78
35,0.836,3510.22
36,0.891,3612.19
37,0.53,3718.6
38,0.53,3826.97
39,0.377,3922.52
40,-0.235,4019.18
41,-0.585,4117.14
42,-0.18,4218.61
43,-0.53,4320.02
44,-0.464,4422.65
45,-0.443,4538.99
46,0.049,4676.55
47,0.454,4787.99
48,0.257,4899.8
49,0.41,4996.69
50,0.224,5087.45
51,0.148,5188.57
52,-0.432,5297.43
53,-0.093,5399.99
54,-0.268,5494.88
55,0.158,5586.99
56,-0.06,5679.73001
57,-0.399,5792.35
58,0.235,5891.29
59,0.366,5994.31
60,0.202,6084.95
61,0.344,6182.97
62,-0.038,6292.98001
63,0.29,6381.06
64,-0.126,6462.37
65,-0.366,6552.99
66,-0.115,6639.53
67,-0.301,6742.9
68,-0.486,6833.76
69,-0.137,6940.97
70,0.738,7060.5
71,0.366,7166.61
72,0.366,7280.38
73,0.65,7395.86
74,0.628,7497.74
75,0.126,7580.24
76,0.169,7673.44
77,0.137,7765.67
78,-0.257,7847.81
79,0.169,7933.51
80,-0.093,8034.22
81,0.475,8132.95
82,0.639,8232.55
83,0.596,8346.92
84,0.749,8444.64
85,0.191,8553.02
86,1,8641.98
87,0.486,8730.43
88,0.41,8824.43
89,0.158,8918.05
90,0.126,9020.98
91,0.06,9112.37
92,0.246,9212.03
93,0.738,9312.41
94,0.803,9415.89
95,0.421,9520.46
96,0.617,9626.95
97,0.705,9730.29
98,0.639,9826.21
99,0.454,9923.34
100,0.311,10025.55
101,0.355,10125.4
102,-0.158,10224.16
103,-0.038,10323.34
104,0.115,10424.38
105,0.137,10527.2
106,0.257,10629.18
107,0.115,10743.3
108,0.038,10853.92
109,0.082,10959.76
110,0.148,11064.52
111,0.06,11165.84
112,-0.191,11270.19
113,-0.607,11375.27
114,-0.585,11477.63
115,-0.268,11576.96
116,-0.093,11677.7
117,-0.093,11785.13
118,0.257,11899.33999
119,-0.005,11997.7
120,0.224,12097.01999
121,0.169,12198.83
122,0.432,12299.8
123,0.202,12396.74
124,-0.366,12493.54
125,-0.661,12582.08
126,0.093,12671.51
127,-0.716,12749.61
128,0.148,12841.76
129,-0.093,12959.78
130,0.279,13090.97
131,0.432,13185.26
132,-0.104,132100
133,0.607,13398.5
134,0.18,13498.7
135,0.071,13593.1
136,0.246,13679.37
137,-0.432,13781.97
138,0.06,13855.94
139,-0.388,13950.39
140,0.202,14048.64
141,-0.104,14140.12
142,0.191,14263.04
143,0.475,14360.51
144,0.552,14478.72
145,0.169,14571.37
146,0.333,14676.43
147,-0.005,14771.25
148,-0.038,14856.46
149,-0.126,14941.84
150,-0.443,15041.24
151,-0.016,15135.28
152,0.027,15239.86
153,0.333,15345.13
154,0.355,15453.8
155,0.344,15577.54
156,0.115,15680.02
157,0.311,15781.28
158,0.596,15873.58
159,0.005,15966.06
160,0.388,16059.46
161,-0.5080001,16159.49
162,-0.552,16251.9
163,-0.858,16335.21
164,-0.596,16439.65
165,0.06,16531.9
166,0.071,16661.56
167,0.224,16788.25
168,0.279,16896.46
169,0.322,16983.94
170,0.18,17089.05
171,0.126,17192.97
172,0.082,17298.29
173,0.126,17399.79
174,-0.213,17494.01
175,-0.235,17587.06
176,0.169,17680.46
177,0.388,17774.86
178,0.519,17867.18
179,0.126,17973.85
180,0.41,18080.15
181,0.738,18169.45
182,0.443,18250.39
183,0.596,18331.68
184,-0.137,18431.25
185,-0.486,18523.11
186,-0.377,18611.32
187,0.268,1878.96
188,-0.169,1886.03
189,-0.213,18911.7
190,-0.191,19034.63
191,0.377,19158.31
192,0.126,19258.66
193,0.311,19372.62
194,0.388,19485.76
195,0.388,19594.29
196,0.18,19692.76999
197,-0.333,19793.18
198,0.049,19889.32
199,-0.082,19981.63
200,0.191,20071.44
201,0.399,20166.42
202,0.093,20280.02
203,0.005,20376.52
204,0.366,20477.51
205,0.333,20567.73001
206,0.377,20650.52
207,0.071,20748.97
208,-0.158,20850.64
209,-0.541,20938.73
210,-0.683,21030.79
211,-0.683,21123.75
212,-0.344,21226.28
213,-0.301,21336.67
214,0.202,21468.91001
215,-0.126,21597.39
216,0.082,21696.1
217,0.115,21790.3
218,0.464,21884.92
219,0.104,21991.41001
220,-0.18,22092.54
221,-0.672,22198.04
222,0.104,22299.96
223,-0.486,22388.83
224,0.093,22483.07
225,0.279,22586.32
226,0.104,22699.83
227,0.18,22796.62
228,0.475,22899.94
229,0.53,22996.89
230,0.661,23085.12
231,0.355,23177.97
232,-0.344,23267.38
233,-0.038,23344.5
234,0.235,23426.72
235,0.486,23513.25
236,0.169,23610.64
237,0.333,23723.83
238,0.137,23829.18
239,0.169,23926.91
240,0.333,24020.09
241,0.705,24122.33
242,0.377,24222.07
243,0.585,24326.2
244,-0.126,24429.81
245,-0.213,24530.1
246,0.148,24624.25
247,-0.126,24725.3
248,-0.344,24823.5
249,-0.5080001,24935.62
250,0.279,25052.11
251,0.082,25156.79
252,0.355,25269.09
253,0.082,25386.64
254,0.574,25499.28
255,0.355,25598.48001
256,-0.257,25698.45
257,-0.377,25794.76999
258,-0.344,25893.58
259,-0.65,25978.07
260,-0.093,26066.88
261,-0.137,26177.04
262,0.115,26288.72
263,0.705,26394.88
264,0.399,26499.67
265,0.366,265100
266,0.366,26699.9
267,0.038,26796.91001
268,-0.268,26866.88
269,0.322,26952.39
270,0.082,27040.61
271,0.082,27130.65
272,0.06,27232.04
273,0.268,27345.28
274,0.421,27435
275,0.77,27535.62
276,0.803,27636.98
277,0.661,27739.89
278,0.716,27836.88
279,0.628,27930.85
280,0.191,28019.33
281,0.53,28113.26
282,0.18,28211.12
283,-0.464,2839.140001
284,0.279,2848.21
285,0.355,28510.76
286,0.202,28610.43
287,0.552,28713.75
288,0.617,28837.91
289,0.104,28941.85
290,0.224,29044.67
291,0.432,29150.57
292,-0.213,29250.34
293,-0.967,29349.54
294,-1,29456.93
295,-0.432,29560.16
296,-0.683,29657.47
297,-0.5080001,29771.68
298,-0.137,29897.28
299,0.082,29962.09
300,-0.06,30059.97
301,0.333,30151.18
302,0.355,30251.48
303,0.388,30366.08
304,-0.06,30486.39
305,-0.202,30593.58
306,0.005,30699.9
307,-0.115,30793.86
308,0.137,30882.82
309,0.454,30984.83999
310,0.388,31089.51
311,0.738,31186.89
312,0.77,31287.15
313,0.803,31378.47
314,0.836,31455.93
315,0.65,31541.27
316,0.005,31619.66
317,-0.366,3179.439999
318,0.071,3184.66
319,-0.005,3192.36
320,-0.454,3201.72
321,0.191,3213.32
322,0.432,32212.13
323,0.683,32316.81
324,0.388,32424.3
325,0.235,32552.42
326,-0.093,32658.05
327,0.475,32759.42
328,-0.082,32857.52
329,-0.617,32960.13
330,-0.093,33064.68
331,-0.071,33174.94
332,0.432,33269.73001
333,0.421,33377.11
334,0.497,33497.93
335,0.454,33598.74
336,0.596,33698.88
337,0.552,33790.41001
338,0.607,33877.86
339,0.464,33961.48
340,-0.301,34047.66
341,-0.77,34130.74
342,-0.65,34220.11
343,-0.694,34312.08
344,-0.137,3448.97
345,-0.464,34520.03
346,-0.246,34671.54
347,0.169,34797.51999
348,-0.202,34895.14
349,0.082,34992.22
350,0.607,35080.09
351,-0.158,35174.59
352,-0.454,35283.66001
353,-0.781,35387.36
354,-0.388,35496.63
355,0.18,35593.36
356,0.06,35694.7
357,-0.5080001,35799.66001
358,-0.268,35891.6
359,0.224,35989.98001
360,0.115,36099.39
361,0.399,36199.46
362,0.027,36299.37
363,0.016,36399.51999
364,-0.377,36496.64
365,-0.18,36589.55
366,-0.038,36668.67
367,-0.202,36765.02
368,0.137,36861.82
369,0.093,36976.92
370,-0.279,37080.17
371,-0.038,37177.48001
372,0.235,37282.34
373,0.169,37374.11
374,0.399,37469.03
375,0.158,37579.48001
376,-0.541,37678.76
377,-0.628,37767.55
378,0.027,37859.98
379,-0.738,37944.35
380,-0.913,38041.18
381,-0.027,38171.53
382,0.071,38295.51999
383,-0.126,38393.48001
384,0.049,38498.18
385,0.454,38570.48001
386,0.301,38677.63
387,-0.005,38788.11
388,-0.093,38893.15
389,-0.224,38999.01
390,-0.213,39093.31
391,-0.311,39181.21
392,-0.235,39279.63
393,-0.322,39380.67
394,0.322,39485.63
395,0.093,39588.66001
396,0.115,39693.65
397,0.77,39795.49
398,0.607,39898.26999
399,-0.158,39986.19
400,-0.235,40079.69
401,-0.202,40172.26
402,-0.333,40235.06
403,-0.158,40320.98
404,-0.224,40429.67
405,-0.355,40542.09
406,0.005,40652.96
407,0.454,40769.45
408,0.41,40876.86
409,0.519,40986.19
410,0.541,41096
411,0.301,41196.07
412,-0.574,41286.85
413,-0.344,41376.66001
414,-0.279,41461.47
415,-0.716,41546.26
416,-0.869,41640.15
417,-0.596,41772.59
418,-0.29,41885.17
419,-0.454,41991.74
420,-0.246,42099.22
421,-0.607,42176.55
422,-0.563,42264.17
423,-0.235,42369.2
424,-0.246,42470.37
425,-0.399,42579.55
426,-0.333,42674.79
427,-0.53,42770.9
428,-0.049,42878.86
429,0.158,42984.28
430,0.115,43083.43
431,0.322,43185.55
432,0.115,43280.17
433,0.049,43390.82
434,0.454,43499.39
435,0.158,43599.18
436,-0.421,43689.1
437,-0.268,43782.18
438,-0.311,43877.64
439,-0.115,43955.93
440,-0.322,44049.73
441,-0.322,44170.12
442,0.126,44279.2
443,0.333,44387.83
444,0.519,44488.2
445,0.399,44594.83
446,0.519,44698.66001
447,0.432,44794.83999
448,0.355,44883.06
449,-0.126,44961.42
450,-0.5080001,45047.47
451,-0.388,45131.81
452,0.388,45222.95
453,0.071,45317.87
